epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.5869,1.29936,2.29476,1.27502,0.66818,0.48076,0.53088,0.33606,1.37258,1.60799,1.33036,0.000277252,0.000277252,0.000277252
2,137.122,1.42444,1.88055,1.38171,0.65577,0.42142,0.49439,0.31077,1.48125,1.64191,1.43325,0.000499982,0.000499982,0.000499982
3,200.054,1.4583,1.74033,1.41715,0.60411,0.43618,0.48819,0.3084,1.46462,1.67615,1.42538,0.000667734,0.000667734,0.000667734
4,262.456,1.42039,1.60053,1.39046,0.62527,0.48614,0.53657,0.35087,1.41968,1.47083,1.38518,0.000585599,0.000585599,0.000585599
5,324.948,1.36138,1.47857,1.34712,0.61256,0.50573,0.5425,0.36006,1.3742,1.40743,1.34378,0.000503132,0.000503132,0.000503132
6,387.767,1.32284,1.383,1.32062,0.69462,0.53178,0.59258,0.39441,1.31772,1.3168,1.31876,0.000420665,0.000420665,0.000420665
7,450.77,1.27304,1.29429,1.28752,0.68251,0.52165,0.60106,0.40662,1.27171,1.29004,1.29039,0.000338198,0.000338198,0.000338198
8,513.45,1.23442,1.21355,1.25819,0.69535,0.53992,0.61802,0.42309,1.23744,1.21078,1.26418,0.000255731,0.000255731,0.000255731
9,575.973,1.1884,1.15038,1.23038,0.7291,0.55677,0.65352,0.45348,1.21474,1.15181,1.24029,0.000173264,0.000173264,0.000173264
10,638.875,1.15891,1.0932,1.20372,0.71272,0.56956,0.65703,0.4569,1.1881,1.12781,1.22553,9.0797e-05,9.0797e-05,9.0797e-05
