epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.887,1.29812,0.86341,1.02649,0.68346,0.50518,0.56516,0.31873,1.30565,0.8417,1.00855,0.000221994,0.000221994,0.000221994
2,256.612,1.27615,0.79509,1.01632,0.71855,0.55583,0.61536,0.34592,1.28932,0.79153,1.00737,0.000400339,0.000400339,0.000400339
3,382.847,1.24605,0.74999,1.00489,0.74739,0.57093,0.62826,0.34478,1.26211,0.75868,1.00138,0.000534662,0.000534662,0.000534662
4,509.946,1.20635,0.70047,0.99043,0.74659,0.59805,0.6586,0.37636,1.24647,0.72713,0.99284,0.000468901,0.000468901,0.000468901
5,635.998,1.15204,0.64936,0.97037,0.75312,0.62198,0.67203,0.3855,1.23002,0.71315,0.98589,0.000402868,0.000402868,0.000402868
6,762.912,1.11227,0.60858,0.95379,0.76592,0.62676,0.68901,0.40047,1.21063,0.68812,0.97602,0.000336835,0.000336835,0.000336835
7,888.707,1.067,0.57085,0.93888,0.83189,0.63094,0.71597,0.40418,1.19445,0.66087,0.97147,0.000270802,0.000270802,0.000270802
8,1014.66,1.0226,0.53686,0.9229,0.82665,0.64993,0.7196,0.42191,1.18551,0.64622,0.96949,0.000204769,0.000204769,0.000204769
9,1141.77,0.98,0.50609,0.91077,0.80627,0.65984,0.71982,0.42132,1.18029,0.64206,0.96698,0.000138736,0.000138736,0.000138736
10,1268.47,0.93963,0.48133,0.89866,0.82088,0.67314,0.73002,0.43185,1.17203,0.63409,0.96638,7.2703e-05,7.2703e-05,7.2703e-05
